Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,7,OLY,P010631,"TANOULIS, GEORGIOS",0,0,0,50,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,OLY,P007853,"MCKISSIC, SHAQUIELLE",-1,0,0,77,06:15,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,2,1,-10
2023,8,BAS,P011948,"HOWARD, MARKUS",1,1,1,0,23:25,10,3,7,1,8,1,1,0,0,0,5,0,1,0,2,2,2,5
2023,8,BAS,P011064,"MANNION, NICCOLO",11,0,1,1,19:00,13,3,6,1,4,4,4,2,0,2,3,0,2,0,0,1,2,6
2023,8,BAS,P008850,"RAIESTE, SANDER",1,0,0,2,01:41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-6
2023,8,BAS,P007230,"SEDEKERSKIS, TADAS",17,1,0,8,27:18,8,3,4,0,1,2,2,2,8,10,2,0,2,0,0,1,2,0
2023,8,BAS,P004761,"MARINKOVIC, VANJA",-3,0,1,9,16:14,0,0,5,0,3,0,0,0,4,4,1,0,0,0,1,1,2,-7
2023,8,BAS,P009048,"MILLER-MCINTYRE, CODI",1,1,0,10,19:47,0,0,0,0,4,0,0,1,3,4,4,0,2,1,0,2,0,-2
2023,8,BAS,P003198,"DIEZ, DANIEL",0,0,0,11,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,BAS,P011085,"ROGKAVOPOULOS, NIKOLAOS",1,0,0,17,12:35,4,2,6,0,1,0,0,2,2,4,0,0,1,0,1,0,0,-2
2023,8,BAS,P008072,"DIOP, KHALIFA",15,0,0,18,23:56,8,4,5,0,0,0,0,6,5,11,1,2,2,0,0,4,0,7
2023,8,BAS,P004603,"KOTSAR, MAIK",8,1,0,21,11:14,5,1,2,0,0,3,4,1,1,2,1,0,0,0,0,1,3,-5
2023,8,BAS,P010444,"COSTELLO, MATTHEW",18,1,1,24,21:14,16,3,5,3,5,1,1,0,2,2,0,1,0,1,0,2,4,-1
2023,8,BAS,P012201,"MONEKE, CHIMA",22,0,1,95,23:36,13,5,11,0,1,3,4,5,5,10,1,1,2,1,0,1,7,-5
2023,8,MAD,P001392,"CAUSEUR, FABIEN",4,1,0,1,19:49,7,2,4,1,3,0,0,0,3,3,0,0,1,2,0,3,0,6
2023,8,MAD,P010868,"DIAGNE, ISMAILA",-4,1,0,4,06:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,-2
2023,8,MAD,PBMT,"FERNANDEZ, RUDY",4,0,0,5,17:38,0,0,0,0,3,0,0,2,1,3,4,1,0,0,0,1,0,11
2023,8,MAD,P003733,"ABALDE, ALBERTO",0,0,0,6,02:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2023,8,MAD,P005928,"CAMPAZZO, FACUNDO",-1,1,1,7,22:44,2,1,5,0,5,0,0,0,1,1,5,1,1,0,2,2,4,4
2023,8,MAD,P011649,"GONZALEZ, HUGO",0,0,0,9,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,MAD,P003108,"HEZONJA, MARIO",4,0,0,11,10:17,9,1,2,2,4,1,1,0,1,1,0,1,0,0,0,5,1,-1
2023,8,MAD,PCVM,"RODRIGUEZ, SERGIO",4,0,0,13,17:16,5,1,2,1,3,0,0,0,0,0,3,1,2,0,0,1,1,-2
2023,8,MAD,P004887,"POIRIER, VINCENT",16,0,1,17,24:56,10,3,6,1,1,1,2,3,4,7,3,1,1,1,0,3,2,3
2023,8,MAD,PTGB,"LLULL, SERGIO",11,0,1,23,20:39,15,1,1,4,9,1,2,0,1,1,2,0,0,0,0,2,1,-4
2023,8,MAD,P010357,"YABUSELE, GUERSCHON",22,1,1,28,34:50,18,2,4,4,8,2,2,1,7,8,0,2,2,1,0,1,2,9
2023,8,MAD,P006540,"MUSA, DZANAN",16,1,1,31,23:29,13,2,5,2,3,3,5,0,7,7,2,0,1,0,1,2,4,-10
2023,9,PAM,P011970,"HARPER, JARED",-2,0,0,0,08:24,1,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,2,-1
2023,9,PAM,P000556,"CLAVER, VICTOR",1,0,0,1,04:17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
2023,9,PAM,P006643,"PUERTO, JOSEP",1,1,0,2,15:24,0,0,0,0,2,0,0,3,2,5,1,0,2,0,1,2,2,-2
2023,9,PAM,P012738,"REUVERS, NATHAN",6,0,0,3,17:01,5,1,2,1,3,0,0,1,5,6,0,0,1,1,0,2,0,13
2023,9,PAM,P010393,"PRADILLA, JAIME",8,0,0,4,09:29,3,0,0,1,1,0,0,2,0,2,3,0,0,0,0,1,1,9
2023,9,PAM,P010568,"JONES, CHRIS",12,1,1,7,25:08,14,1,5,3,4,3,4,0,0,0,3,1,2,0,0,1,3,-5
2023,9,PAM,P003960,"INGLIS, DAMIEN",14,1,0,10,20:13,9,2,3,1,4,2,2,0,6,6,1,1,1,1,0,2,3,-7
2023,9,PAM,P004863,"JOVIC, STEFAN",4,0,1,16,19:24,2,0,1,0,1,2,2,0,0,0,4,0,0,0,0,1,1,16
2023,9,PAM,P012739,"TOURE, BOUBACAR",5,0,0,21,18:26,5,2,4,0,0,1,2,4,0,4,2,1,3,0,1,2,2,-3
